# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
1.630014311906877e-09	-0.29974034	-0.00582496	0.22818959	1e+09	1.0935453
1.6400121243805522e-09	0.29916954	-0.02072728	0.21672964	1e+09	1.1558427
1.6500169054062489e-09	0.13460827	0.03426782	-0.3685863	1e+09	1.2136191
1.6600171010171918e-09	-0.38030457	0.051545054	0.07027787	1e+09	1.2665782
1.6700222339811684e-09	0.31332365	0.10743283	0.2811607	1e+09	1.314561
1.6800045103890822e-09	-0.010254825	0.14125794	-0.4285087	1e+09	1.3572587
1.6900023242905045e-09	-0.23755923	0.17064512	0.3737047	1e+09	1.3946728
1.7000042423834035e-09	0.40291187	0.20350909	-0.20406325	1e+09	1.4265971
1.7100015781562495e-09	-0.4398069	0.23226732	-0.018074341	1e+09	1.4528785
1.7200263630789375e-09	0.36046156	0.27082613	0.17189787	1e+09	1.4734774
1.7300258185927659e-09	-0.23569143	0.31148013	-0.25719982	1e+09	1.4882026
1.7400145821298079e-09	0.083295055	0.3481863	0.34394756	1e+09	1.4970487
1.7500052799210226e-09	0.12711218	0.37987387	-0.36884737	1e+09	1.5
1.760007140868147e-09	-0.33392894	0.41530707	0.31889457	1e+09	1.4970359
1.770004311225828e-09	0.48406374	0.4312063	-0.21492243	1e+09	1.4881669
1.780018965126278e-09	-0.56745654	0.4649772	0.07305157	1e+09	1.4733974
1.7900196287367244e-09	0.5805749	0.49992537	0.08651555	1e+09	1.4528288
1.800010958153346e-09	-0.53771675	0.54986686	-0.24517268	1e+09	1.4265529
1.8100264056467514e-09	0.41225314	0.60905325	0.37668967	1e+09	1.3945731
1.8200151058968386e-09	-0.22926691	0.6491347	-0.45668557	1e+09	1.35718
1.8300194542136792e-09	0.00710027	0.68384385	0.44846526	1e+09	1.3143717
1.840008812154004e-09	0.21506406	0.6890014	-0.36559364	1e+09	1.2664474
1.8500052530739173e-09	-0.3748511	0.7007257	0.17851539	1e+09	1.2134964
1.8600008121461202e-09	0.37923378	0.72870964	0.063775435	1e+09	1.1557649
1.8700130962681457e-09	-0.19876324	0.77424514	-0.25570855	1e+09	1.0933684
1.8800163724985045e-09	-0.13176173	0.78358394	0.25744116	1e+09	1.0267081
1.8900037809430047e-09	0.31676683	0.7573042	-0.02400772	1e+09	0.9561085
1.9000197494923453e-09	-0.1459513	0.82516295	-0.23064229	1e+09	0.8815273
1.9100159058608992e-09	-0.23176116	0.8209353	0.16176917	1e+09	0.8036136
1.920010760776241e-09	0.2167669	0.813176	0.1634939	1e+09	0.72254163
1.9300200749468904e-09	0.20832756	0.84372663	-0.17683308	1e+09	0.6384977
1.9400047939788644e-09	-0.21064417	0.8393463	-0.19600129	1e+09	0.5521448
1.950004728578153e-09	-0.34333205	0.8344612	0.07323462	1e+09	0.4634831
1.9600126536344246e-09	-0.0812556	0.8873958	0.24060595	1e+09	0.37291932
1.970021509756235e-09	0.26499116	0.832685	0.18445817	1e+09	0.28087282
1.9800256336229725e-09	0.41650295	0.81227434	0.019302804	1e+09	0.18776016
1.9900035925128937e-09	0.3916625	0.8590713	-0.08873002	1e+09	0.09415199
2.000007735379689e-09	0.29784203	0.9048331	-0.11699765	1e+09	-7.290424e-05
2.010014544868568e-09	0.21059966	0.92626774	-0.08974668	1e+09	-0.09432259
2.0200267965754184e-09	0.17241709	0.91703373	-0.021603711	1e+09	-0.18825041
