# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
1.6300206986269041e-09	0.7277164	-0.65875673	0.022500413	1e+10	-0.0095065385
1.6400270129678646e-09	0.7037957	-0.67947555	0.033065643	1e+10	-0.0058641126
1.650005868527602e-09	0.6701715	-0.7050046	0.030856485	1e+10	3.6873046e-06
1.660012583556794e-09	0.6401825	-0.7256009	0.016649177	1e+10	0.0058842474
1.6700200450355463e-09	0.6263354	-0.7346451	-0.0032951992	1e+10	0.009514449
1.6800011920708933e-09	0.6331441	-0.73048776	-0.020695627	1e+10	0.009510334
1.690010042874899e-09	0.6559271	-0.71511024	-0.029613376	1e+10	0.0058727465
1.7000174844579818e-09	0.6849215	-0.69372106	-0.027152883	1e+10	-1.09858065e-05
1.710023722315091e-09	0.70934886	-0.67427903	-0.01395397	1e+10	-0.0058899047
1.7200024118362517e-09	0.7197768	-0.66457486	0.0051315795	1e+10	-0.009511033
1.7300089183000808e-09	0.71159583	-0.6688564	0.022258127	1e+10	-0.009508832
1.7400155739196845e-09	0.6883242	-0.6858263	0.029745553	1e+10	-0.005869933
1.750022255725448e-09	0.66094315	-0.7084195	0.024639497	1e+10	1.398368e-05
1.7600018862729827e-09	0.64142644	-0.7274262	0.009880789	1e+10	0.0058788112
1.7700095983596149e-09	0.6362262	-0.73545426	-0.008180737	1e+10	0.009512427
1.7800172755328786e-09	0.64566565	-0.7290141	-0.02287163	1e+10	0.009507205
1.7900241917379621e-09	0.66588575	-0.71044886	-0.029289275	1e+10	0.0058655487
1.8000034882362971e-09	0.69023603	-0.68685806	-0.025047783	1e+10	-2.1917235e-06
1.8100104951279221e-09	0.71025825	-0.6669267	-0.011259193	1e+10	-0.005883186
1.8200179390516114e-09	0.7180506	-0.65851194	0.006895503	1e+10	-0.009514042
1.8300250834874224e-09	0.71065855	-0.66498625	0.02179234	1e+10	-0.009505684
1.8400043278556181e-09	0.69201046	-0.6833725	0.027337123	1e+10	-0.005875652
1.8500110914974835e-09	0.670232	-0.7060572	0.021828463	1e+10	6.9689927e-06
1.8600181910174458e-09	0.65393394	-0.7236575	0.007592451	1e+10	0.0058870954
1.870025561296474e-09	0.6489471	-0.7284932	-0.0099538565	1e+10	0.0095155155
1.8800052020438398e-09	0.65687	-0.7180022	-0.024003498	1e+10	0.009509555
1.8900125419181354e-09	0.67503464	-0.69639295	-0.028977687	1e+10	0.005871475
