# t (s)	mx ()	my ()	mz ()	J-freq (Hz)	B_ext (T)
2.320010441533507e-09	0.707885	-0.67074406	0.013734302	1e+10	-0.00951259
2.3250001621623564e-09	0.7050197	-0.6757357	0.022459477	1e+10	-0.01
2.33001720301737e-09	0.697605	-0.68378377	0.028937263	1e+10	-0.009507219
2.3350066339591448e-09	0.6865032	-0.6941161	0.032510255	1e+10	-0.008087719
2.340023638328817e-09	0.6728002	-0.7059657	0.03289555	1e+10	-0.00586583
2.345013034097137e-09	0.6581122	-0.7181731	0.030039547	1e+10	-0.0030823802
2.3500023137050446e-09	0.6439358	-0.72968316	0.02419365	1e+10	1.4537437e-06
2.3550195117366914e-09	0.63170266	-0.73941755	0.015856076	1e+10	0.003101827
2.3600091410928283e-09	0.62277424	-0.7462398	0.005962172	1e+10	0.0058824983
2.3650265789978617e-09	0.6178541	-0.7494249	-0.004550076	1e+10	0.008099975
2.3700164024778408e-09	0.6173033	-0.74850863	-0.014476904	1e+10	0.009513745
2.3750063490814864e-09	0.6209405	-0.7435488	-0.02289665	1e+10	0.009999999
2.3800238739429713e-09	0.6283174	-0.73499924	-0.0290625	1e+10	0.009505919
2.385013838701018e-09	0.63859063	-0.72389203	-0.032378543	1e+10	0.008085056
2.3900038661805844e-09	0.6508557	-0.71142894	-0.03260644	1e+10	0.005875887
2.395021237778942e-09	0.66414535	-0.69892395	-0.029684465	1e+10	0.0030774763
2.4000112561969615e-09	0.6772083	-0.68784386	-0.023865882	1e+10	-7.0724764e-06
2.4050013325979466e-09	0.68897	-0.67920536	-0.01564518	1e+10	-0.0030909663
2.4100188706062755e-09	0.6983093	-0.6737233	-0.0057436214	1e+10	-0.005887441
2.4150087487047625e-09	0.70403874	-0.67182446	0.004734447	1e+10	-0.0080934
2.4200262081458757e-09	0.70540106	-0.6735291	0.014812575	1e+10	-0.009515641
2.42501607455382e-09	0.70204115	-0.67859113	0.023358067	1e+10	-0.009999995
2.4300054574685204e-09	0.69423187	-0.686557	0.029598963	1e+10	-0.009509505
2.435022619749952e-09	0.68271846	-0.6968347	0.032971565	1e+10	-0.008081808
2.4400121479324046e-09	0.6688873	-0.7084739	0.0331349	1e+10	-0.005871676
2.4450016651707785e-09	0.65419614	-0.72054935	0.030090267	1e+10	-0.0030891749
2.4500187279912482e-09	0.64015234	-0.7320522	0.024062153	1e+10	1.1767142e-05
2.455008236284868e-09	0.6283611	-0.74176073	0.01568658	1e+10	0.0030950913
2.4600255987072508e-09	0.61982405	-0.7487533	0.005720097	1e+10	0.0058908574
2.465015380754698e-09	0.61531043	-0.7521309	-0.00470299	1e+10	0.0080958465
2.4700052912375864e-09	0.6149684	-0.75146246	-0.014572664	1e+10	0.009511592
2.475022825205087e-09	0.6186347	-0.7466862	-0.02296417	1e+10	0.0099999895
2.4800128423526512e-09	0.62576926	-0.73832995	-0.029013956	1e+10	0.009508069
2.485002823879173e-09	0.63566613	-0.7273016	-0.032248043	1e+10	0.008089127
2.4900202505344204e-09	0.647529	-0.71478295	-0.0323805	1e+10	0.005867554
2.495009886952681e-09	0.6602582	-0.7023284	-0.029377852	1e+10	0.0030842612
2.5000273686520527e-09	0.67294353	-0.69118506	-0.023439895	1e+10	-1.7196222e-05
2.505017262818448e-09	0.68433064	-0.6826141	-0.015153256	1e+10	-0.003100484
2.510007252787353e-09	0.693342	-0.6773071	-0.005294597	1e+10	-0.0058815386
2.5150248121239926e-09	0.6989199	-0.67560965	0.005179231	1e+10	-0.008099324
2.520014603889276e-09	0.70019406	-0.6775171	0.015056614	1e+10	-0.009513397
2.5250046833808535e-09	0.6968843	-0.68270516	0.023384837	1e+10	-0.01
2.5300218857893585e-09	0.6892202	-0.6907114	0.029381944	1e+10	-0.009506307
2.5350114609160295e-09	0.6781442	-0.7007709	0.03244053	1e+10	-0.008085935
2.54000104398957e-09	0.66489935	-0.71211004	0.032337997	1e+10	-0.005877322
2.545018008804701e-09	0.6508995	-0.7238663	0.029057395	1e+10	-0.0030794065
2.5500075370617827e-09	0.637809	-0.7348937	0.022922084	1e+10	4.7356752e-06
2.5550245562876835e-09	0.626833	-0.7442449	0.014437804	1e+10	0.0031048402
2.5600143241887185e-09	0.6191068	-0.7507936	0.0045208656	1e+10	0.005885131
2.565004149167157e-09	0.61516523	-0.75374633	-0.0058732666	1e+10	0.008091702
2.570021663820811e-09	0.61520743	-0.75257003	-0.015744688	1e+10	0.009514763
2.5750115341849063e-09	0.61906064	-0.74723953	-0.024007818	1e+10	0.009999997
2.5800013208542582e-09	0.6262561	-0.73825616	-0.029934993	1e+10	0.0095103085
2.585018848078041e-09	0.63617826	-0.7265276	-0.03299765	1e+10	0.008083204
2.5900087073473187e-09	0.64787924	-0.71351814	-0.032886956	1e+10	0.0058734254
2.5950260217163844e-09	0.6605371	-0.70060086	-0.02959103	1e+10	0.0030746162
2.6000159256357837e-09	0.67299384	-0.6893724	-0.02341022	1e+10	-1.0006371e-05
2.605005846069008e-09	0.68423283	-0.68093526	-0.0148878805	1e+10	-0.0030936631
2.610023471696132e-09	0.69316614	-0.67601126	-0.0047923224	1e+10	-0.005889777
2.6150136288324833e-09	0.6986229	-0.6749164	0.0057375804	1e+10	-0.0080952
2.6200036701264292e-09	0.69984996	-0.6774707	0.015668584	1e+10	-0.009511277
2.625021163037739e-09	0.6964823	-0.6832957	0.024044514	1e+10	-0.009999991
2.630010837831212e-09	0.6888273	-0.69173473	0.02997777	1e+10	-0.009508459
2.635000426106891e-09	0.67772245	-0.7021025	0.03298868	1e+10	-0.008090013
2.640017232950414e-09	0.66435295	-0.71365494	0.032806337	1e+10	-0.005869089
2.645006608914234e-09	0.6503488	-0.7253629	0.0294401	1e+10	-0.0030862205
2.6500237056256353e-09	0.6370711	-0.73636544	0.023137677	1e+10	1.4894678e-05
2.655013254630825e-09	0.62601453	-0.74550617	0.014535182	1e+10	0.0030980895
2.6600029407913287e-09	0.6181426	-0.7518393	0.004432676	1e+10	0.005879347
2.6650203074409045e-09	0.61408865	-0.7545204	-0.006208944	1e+10	0.0080976635
2.67001030930677e-09	0.61412007	-0.7530132	-0.016181048	1e+10	0.009512565
2.67500010840371e-09	0.6180378	-0.74733365	-0.0245324	1e+10	0.01
2.680017599405366e-09	0.625406	-0.73795843	-0.030481495	1e+10	0.009507142
2.685007451364205e-09	0.6354148	-0.7260227	-0.03342297	1e+10	0.008087417
2.690024837639168e-09	0.64728105	-0.7127932	-0.03313154	1e+10	0.00586522
2.6950145429142873e-09	0.6599021	-0.6999706	-0.029630134	1e+10	0.0030814784
2.700004474515921e-09	0.67232335	-0.68896264	-0.023222324	1e+10	-2.8114212e-06
2.705022042707625e-09	0.6835322	-0.6809018	-0.01443509	1e+10	-0.0031033389
2.710012326346962e-09	0.6922868	-0.67656296	-0.0042102262	1e+10	-0.0058841165
2.715002344350995e-09	0.697585	-0.67607105	0.006469517	1e+10	-0.008091035
2.7200200193372066e-09	0.6985947	-0.67923385	0.01657791	1e+10	-0.0095144445
2.7250100093720484e-09	0.69494915	-0.6855461	0.025003763	1e+10	-0.009999998
2.730027225699428e-09	0.68686706	-0.6944523	0.03102823	1e+10	-0.009505265
2.7350167867525285e-09	0.6752858	-0.70512843	0.03403409	1e+10	-0.008083966
2.7400062775047587e-09	0.6614558	-0.71680444	0.033786032	1e+10	-0.0058746613
2.7450231013886095e-09	0.6468197	-0.72865564	0.030258404	1e+10	-0.0030763622
2.75001245552461e-09	0.6331053	-0.7395965	0.023781048	1e+10	7.826036e-06
2.7550019721540577e-09	0.6216449	-0.7486949	0.014927749	1e+10	0.0030913483
2.7600192606528227e-09	0.61350536	-0.75499386	0.004494852	1e+10	0.005887639
2.765009041220163e-09	0.6094532	-0.75758755	-0.006347597	1e+10	0.008093508
2.7700265726136864e-09	0.6096567	-0.75599676	-0.01659565	1e+10	0.009515711
2.775016549434649e-09	0.6139011	-0.75022006	-0.025113538	1e+10	0.009999994
2.7800064250792504e-09	0.6216258	-0.7407824	-0.031156152	1e+10	0.009509317
2.785023768386325e-09	0.63210475	-0.72862387	-0.03419865	1e+10	0.008081383
2.7900136562591862e-09	0.64428765	-0.7152621	-0.033949703	1e+10	0.0058709085
2.7950034033236314e-09	0.6572317	-0.7022004	-0.030445036	1e+10	0.0030881362
2.8000207274799345e-09	0.66998637	-0.69089323	-0.023928113	1e+10	-1.3023456e-05
2.805010816155417e-09	0.6813495	-0.682668	-0.015052454	1e+10	-0.0030966327
2.8100007581957054e-09	0.6902866	-0.6781616	-0.004645263	1e+10	-0.005878238
2.8150184538010082e-09	0.6957456	-0.67756766	0.0063055726	1e+10	-0.00809698
2.8200084531373873e-09	0.6968248	-0.68067	0.016563524	1e+10	-0.009512205
2.8250259093769464e-09	0.69316804	-0.6870159	0.025202215	1e+10	-0.009999987
2.8300156624281227e-09	0.6850735	-0.6958956	0.031295672	1e+10	-0.009507519
2.835005209088979e-09	0.67339563	-0.7065886	0.03433556	1e+10	-0.008088246
2.8400221975871764e-09	0.65936714	-0.7183274	0.034035474	1e+10	-0.0058665634
2.845011651008159e-09	0.6447129	-0.730083	0.030411739	1e+10	-0.003083207
