# t (s)	mx ()	my ()	mz ()	J-freq (Hz)
1.7000111284265692e-09	-0.34341943	0.20403975	-0.5418904	1e+09
1.7100044256856133e-09	0.041963056	0.28136832	0.5815079	1e+09
1.720015472714347e-09	0.20206784	0.31003138	-0.47899875	1e+09
1.7300059731826286e-09	-0.32370818	0.34768334	0.27960843	1e+09
1.7400144272280038e-09	0.31492543	0.37155005	-0.09582757	1e+09
1.7500052470240494e-09	-0.26346782	0.38801977	0.009936875	1e+09
1.760011737724483e-09	0.22804795	0.43154418	0.01903193	1e+09
1.7700019462798517e-09	-0.24965881	0.43739447	-0.13262726	1e+09
1.7800074790444634e-09	0.14741233	0.48754054	0.20476489	1e+09
1.7900052714490105e-09	-0.08524109	0.5202088	-0.22418886	1e+09
1.8000141559254659e-09	-0.019227222	0.55319244	0.18109642	1e+09
1.8100136860330216e-09	0.0259833	0.5840131	-0.11627507	1e+09
1.8200144147070148e-09	-0.050045785	0.6062917	0.06647769	1e+09
1.8300094885033777e-09	0.015309364	0.63397026	-0.038661387	1e+09
1.8400014494617495e-09	-0.0010738693	0.6457647	0.025375852	1e+09
1.8500088082614225e-09	-0.035575874	0.66190076	-0.037119888	1e+09
1.8600115081100796e-09	-0.012734532	0.6648197	0.09604301	1e+09
1.8700083901724393e-09	0.10831949	0.71613276	-0.10660312	1e+09
1.880001765246261e-09	-0.18455048	0.73739314	0.017687412	1e+09
1.8900033096864286e-09	0.13019635	0.729496	0.12302875	1e+09
1.900008171385578e-09	0.074968174	0.77087784	-0.1621858	1e+09
1.910013023632486e-09	-0.2475203	0.79470307	0.0017327167	1e+09
1.9200146084125415e-09	0.060421076	0.7662283	0.17259106	1e+09
1.9300129638578798e-09	0.21787885	0.8263743	-0.055212114	1e+09
1.9400152684165707e-09	-0.076559335	0.8106324	-0.14790359	1e+09
1.9500127787843083e-09	-0.22866775	0.8455255	0.013106038	1e+09
1.960015486555045e-09	-0.040219955	0.82524353	0.12053851	1e+09
1.9700059020893088e-09	0.14527644	0.8006584	0.077694945	1e+09
1.980006817048256e-09	0.16462585	0.86648834	0.015228238	1e+09
1.990015596601013e-09	0.12277202	0.88428307	0.0010242291	1e+09
2.0000056363843576e-09	0.08423928	0.84249043	0.0091298185	1e+09
2.0100123062670397e-09	0.08403627	0.7930236	0.027852224	1e+09
2.020006689189042e-09	0.111504644	0.75411963	0.053717412	1e+09
2.03000228594344e-09	0.13602453	0.7021238	0.10009807	1e+09
2.0400144727852757e-09	0.13183685	0.59535426	0.17165214	1e+09
2.05001494616546e-09	0.033462666	0.41622698	0.22604223	1e+09
2.0600076943792175e-09	-0.18065475	0.25096762	0.16495141	1e+09
2.070004009062044e-09	-0.284822	0.1591434	-0.06451427	1e+09
2.080008089041645e-09	-0.09329625	0.0626994	-0.2436705	1e+09
2.0900088901780433e-09	0.18043251	-0.0021385911	-0.13293107	1e+09
2.100013621623515e-09	0.10067975	-0.039309185	0.22079319	1e+09
2.1100153655793722e-09	-0.25880328	-0.05867848	0.05912967	1e+09
2.120000732782433e-09	0.057011362	-0.150491	-0.14638855	1e+09
2.1300085393919315e-09	0.02429804	-0.15188077	0.15238416	1e+09
2.140002391013942e-09	-0.15637586	-0.19722249	0.044381388	1e+09
2.150001180785841e-09	-0.041306324	-0.23667607	-0.24935487	1e+09
2.1600088035778476e-09	0.2620083	-0.27876997	0.1589016	1e+09
2.1700001958794984e-09	-0.3656407	-0.29588383	0.052131582	1e+09
2.180013826355827e-09	0.27471727	-0.36143553	-0.24888006	1e+09
2.190006058503304e-09	-0.11336757	-0.40184653	0.36593372	1e+09
2.2000152753059e-09	-0.019104524	-0.44751996	-0.42335656	1e+09
2.2100067945470456e-09	0.15539569	-0.47882697	0.4137897	1e+09
2.2200030131814253e-09	-0.27922904	-0.523453	-0.34220567	1e+09
2.2300056172584924e-09	0.33274215	-0.54684424	0.26224563	1e+09
2.240008964458312e-09	-0.3611333	-0.5808828	-0.15695286	1e+09
2.2500150887294525e-09	0.36530644	-0.607773	0.06488336	1e+09
2.2600141773675882e-09	-0.34543127	-0.6447533	0.022079129	1e+09
2.2700015122415798e-09	0.32379198	-0.6846703	-0.10059528	1e+09
